source,target,weight
CENTRO,BENALUA,0.674371
CENTRO,CAROLINAS BAJAS,0.615246
CENTRO,CAROLINAS ALTAS,0.518917
CENTRO,GARBINET,0.500135
BENALUA,CENTRO,0.674371
BENALUA,CAROLINAS BAJAS,0.480233
BENALUA,SAN BLAS,0.568381
CAROLINAS BAJAS,CENTRO,0.615246
CAROLINAS BAJAS,BENALUA,0.480233
CAROLINAS BAJAS,CAROLINAS ALTAS,0.839191
CAROLINAS BAJAS,ALTOZANO,0.56061
CAROLINAS BAJAS,VISTAHERMOSA,0.302484
CAROLINAS BAJAS,PLAYA SAN JUAN,0.035866
CAROLINAS BAJAS,GARBINET,0.671274
CAROLINAS BAJAS,SAN BLAS,0.488359
CAROLINAS ALTAS,CENTRO,0.518917
CAROLINAS ALTAS,CAROLINAS BAJAS,0.839191
CAROLINAS ALTAS,ALTOZANO,0.621692
CAROLINAS ALTAS,VISTAHERMOSA,0.289659
CAROLINAS ALTAS,GARBINET,0.641061
ALTOZANO,CAROLINAS BAJAS,0.56061
ALTOZANO,CAROLINAS ALTAS,0.621692
ALTOZANO,SAN BLAS,0.618279
VISTAHERMOSA,CAROLINAS BAJAS,0.302484
VISTAHERMOSA,CAROLINAS ALTAS,0.289659
VISTAHERMOSA,PLAYA SAN JUAN,0.115529
VISTAHERMOSA,GARBINET,0.448643
PLAYA SAN JUAN,CAROLINAS BAJAS,0.035866
PLAYA SAN JUAN,VISTAHERMOSA,0.115529
PLAYA SAN JUAN,GARBINET,0.052439
GARBINET,CENTRO,0.500135
GARBINET,CAROLINAS BAJAS,0.671274
GARBINET,CAROLINAS ALTAS,0.641061
GARBINET,VISTAHERMOSA,0.448643
GARBINET,PLAYA SAN JUAN,0.052439
SAN BLAS,BENALUA,0.568381
SAN BLAS,CAROLINAS BAJAS,0.488359
SAN BLAS,ALTOZANO,0.618279
