date,year,month,day,weekday,is_weekend,barrio,lat,lon,population_factor,tourism_factor,infrastructure_age,coastal,season_index,temperature_c,rainfall_mm,consumption_m3_day,flow_m3h,pressure_bar,risk_score,breakdown_probability,breakdown_event,pressure_alert,flow_alert,anomaly_alert,total_alerts,risk_level
2022-01-01,2022,1,1,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,11.718,20.64,576.849,25.166,3.695,0.3792,0.0702,0,0,0,0,0,bajo
2022-01-02,2022,1,2,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,10.787,29.849,523.742,22.782,4.036,0.4394,0.0812,0,0,0,0,0,medio
2022-01-03,2022,1,3,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,11.962,22.266,532.271,21.115,4.046,0.4279,0.0721,0,0,0,0,0,medio
2022-01-04,2022,1,4,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,10.24,41.003,515.921,21.036,3.902,0.4567,0.0946,1,0,0,0,1,medio
2022-01-05,2022,1,5,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,11.88,33.877,587.665,23.988,3.865,0.3996,0.0861,0,0,0,0,0,bajo
2022-01-06,2022,1,6,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,12.955,28.974,494.499,19.755,4.028,0.4629,0.0802,0,0,0,0,0,medio
2022-01-07,2022,1,7,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,9.504,34.888,499.956,21.073,3.963,0.4412,0.0873,0,0,0,0,0,medio
2022-01-08,2022,1,8,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,11.597,36.11,554.233,23.427,4.01,0.3655,0.0888,0,0,0,0,0,bajo
2022-01-09,2022,1,9,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,10.556,24.25,542.882,24.311,3.834,0.4898,0.0745,0,0,0,0,0,medio
2022-01-10,2022,1,10,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,10.759,31.465,539.066,23.26,4.034,0.4203,0.0832,0,0,0,0,0,medio
2022-01-11,2022,1,11,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,12.548,28.278,480.891,18.902,3.843,0.4477,0.0794,0,0,0,0,0,medio
2022-01-12,2022,1,12,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,12.297,26.155,525.703,22.589,3.905,0.4583,0.0768,0,0,0,0,0,medio
2022-01-13,2022,1,13,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,10.717,26.564,483.386,20.631,3.897,0.4294,0.0773,0,0,0,0,0,medio
2022-01-14,2022,1,14,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,11.931,35.988,517.673,21.113,3.934,0.346,0.0886,1,0,0,0,1,bajo
2022-01-15,2022,1,15,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,9.277,21.025,565.235,22.485,3.886,0.5001,0.0707,0,0,0,0,0,medio
2022-01-16,2022,1,16,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,12.367,21.597,545.191,21.637,3.896,0.4742,0.0713,0,0,0,0,0,medio
2022-01-17,2022,1,17,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,11.913,32.14,502.185,19.412,3.957,0.3981,0.084,0,0,0,0,0,bajo
2022-01-18,2022,1,18,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,11.294,44.416,513.271,20.292,3.967,0.4386,0.0987,0,0,0,0,0,medio
2022-01-19,2022,1,19,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,12.514,33.212,566.471,22.2,3.855,0.3878,0.0853,0,0,0,0,0,bajo
2022-01-20,2022,1,20,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,9.196,35.716,513.806,19.834,3.823,0.4417,0.0883,1,0,0,0,1,medio
